Sno,Image_num,x,y,w,h,conf,gt_x,gt_y,gt_w,gt_h,iou
1,1,43.0,34.5,353.0,467.5,0.98,,,,,
2,2,122.0,78.5,250.0,247.5,0.97,,,,,
3,3,71.0,106.0,365.0,282.0,0.99,,,,,
4,4,58.5,44.5,151.5,225.5,0.99,,,,,
5,4,220.0,4.5,338.0,375.5,0.99,,,,,
6,4,311.5,-2.0,494.5,378.0,0.99,,,,,
7,4,79.5,167.5,362.5,370.5,0.86,,,,,
8,4,274.0,0.0,332.0,96.0,0.86,,,,,
9,4,333.0,-2.0,383.0,104.0,0.81,,,,,
10,4,200.0,-3.0,246.0,129.0,0.60,,,,,
11,4,134.5,13.0,219.5,139.0,0.54,,,,,
12,5,166.5,93.5,347.5,346.5,0.99,,,,,
13,6,159.5,171.5,276.5,242.5,0.99,,,,,
14,7,73.5,9.0,320.5,335.0,0.99,,,,,
15,7,-4.5,139.0,250.5,509.0,0.91,,,,,
16,8,197.0,65.5,307.0,328.5,0.99,,,,,
17,8,312.0,2.0,436.0,370.0,0.93,,,,,
18,8,17.0,107.0,399.0,393.0,0.93,,,,,
19,9,26.5,76.5,457.5,179.5,0.99,,,,,
20,10,336.0,11.0,494.0,203.0,0.99,,,,,
21,10,26.5,69.0,301.5,319.0,0.98,,,,,
22,11,109.0,34.5,315.0,249.5,0.90,,,,,
23,11,184.0,70.0,322.0,264.0,0.87,,,,,
24,12,116.5,83.5,327.5,506.5,0.99,,,,,
25,12,0.0,137.0,186.0,507.0,0.93,,,,,
26,13,186.0,78.0,298.0,188.0,0.95,,,,,
27,13,6.0,15.0,328.0,299.0,0.88,,,,,
28,14,56.5,-7.5,235.5,141.5,0.99,,,,,
29,14,226.5,29.5,325.5,130.5,0.98,,,,,
30,14,-1.5,12.5,109.5,195.5,0.95,,,,,
31,15,68.5,29.5,369.5,348.5,0.99,,,,,
32,16,323.5,5.0,430.5,231.0,0.99,,,,,
33,16,163.0,69.0,281.0,203.0,0.99,,,,,
34,16,376.5,15.5,499.5,320.5,0.96,,,,,
35,16,1.0,103.0,121.0,331.0,0.88,,,,,
36,17,151.0,163.5,359.0,262.5,0.92,,,,,
37,19,8.0,149.5,324.0,384.5,0.98,,,,,
38,20,31.5,17.0,478.5,311.0,0.99,,,,,
39,21,97.0,152.0,231.0,352.0,0.83,,,,,
40,22,91.5,346.5,180.5,507.5,0.99,,,,,
41,22,96.5,359.0,175.5,493.0,0.96,,,,,
42,22,253.5,375.0,262.5,409.0,0.72,,,,,
43,22,264.0,377.0,272.0,395.0,0.54,,,,,
44,23,70.5,240.5,381.5,295.5,0.99,,,,,
45,23,308.0,239.5,432.0,364.5,0.94,,,,,
46,24,243.5,59.5,354.5,356.5,0.99,,,,,
47,25,94.5,112.0,261.5,208.0,0.98,,,,,
48,26,224.5,32.5,333.5,191.5,0.99,,,,,
49,27,114.0,22.0,272.0,404.0,0.99,,,,,
50,28,106.5,84.5,311.5,267.5,0.99,,,,,
51,29,324.0,28.0,502.0,324.0,0.98,,,,,
52,30,28.5,76.0,257.5,492.0,0.99,,,,,
53,31,79.0,183.0,203.0,357.0,0.99,,,,,
54,31,85.5,305.5,396.5,370.5,0.99,,,,,
55,31,297.0,189.0,373.0,317.0,0.84,,,,,
56,32,292.0,152.0,418.0,240.0,0.99,,,,,
